title,amount,date
ZenZest Meditation Supplies,19.99,2023-09-01
EcoBalance Grocery Store,35.5,2023-09-02
Mindful Movement Yoga Studio,40,2023-09-03
Digital Marketing Tools Subscription,12.99,2023-09-04
Nature Retreat Weekend,250,2023-09-05
Inner Peace Wellness Workshop,45,2023-09-06
EcoBalance Grocery Store,22.25,2023-09-07
Uber,7.03,2023-09-09
Serenity Spa - Massage,75,2023-09-08
Online Course - Mindfulness,19.99,2023-09-09
ZenZest Meditation Supplies,12.99,2023-09-10
Healthy Bites Cafe - Lunch,18.6,2023-09-11
Mindful Living Boutique,45.5,2023-09-12
Utility Bill Payment,75,2023-09-13
EcoBalance Grocery Store,27.8,2023-09-14
Lyft,9.24,2023-09-30
Online Course - Digital Marketing,149,2023-09-15
Eco-Friendly Home Products,30,2023-09-16
ZenZest Meditation Supplies,29.99,2023-09-17
Uber,15.53,2023-10-26
Mindful Movement Yoga Studio,40,2023-09-18
EcoBalance Grocery Store,18.75,2023-09-19
Nature Retreat Weekend,250,2023-09-20
Inner Peace Wellness Workshop,45,2023-09-21
Digital Marketing Tools Subscription,12.99,2023-09-22
Serenity Spa - Massage,75,2023-09-23
Healthy Bites Cafe - Dinner,22.75,2023-09-24
Mindful Living Boutique,38.9,2023-09-25
Utility Bill Payment,75,2023-09-26
Online Course - Mindfulness,19.99,2023-09-27
ZenZest Meditation Supplies,15.5,2023-09-28
EcoBalance Grocery Store,29.8,2023-09-29
Nature Retreat Weekend,250,2023-09-30
Eco-Friendly Home Products,25,2023-10-01
Mindful Movement Yoga Studio,40,2023-10-02
Digital Marketing Tools Subscription,12.99,2023-10-03
Inner Peace Wellness Workshop,45,2023-10-04
Healthy Bites Cafe - Lunch,18.6,2023-10-05
Online Course - Digital Marketing,149,2023-10-06
ZenZest Meditation Supplies,19.99,2023-10-07
EcoBalance Grocery Store,35.5,2023-10-08
Mindful Living Boutique,45.5,2023-10-09
Utility Bill Payment,75,2023-10-10
EcoBalance Grocery Store,27.8,2023-10-11
Serenity Spa - Massage,75,2023-10-12
Mindful Movement Yoga Studio,40,2023-10-13
Online Course - Mindfulness,19.99,2023-10-14
Uber,11.35,2023-09-03
ZenZest Meditation Supplies,19.99,2023-10-15
Healthy Bites Cafe - Dinner,22.75,2023-10-16
Eco-Friendly Home Products,25,2023-10-17
Nature Retreat Weekend,250,2023-10-18
Inner Peace Wellness Workshop,45,2023-10-19
Digital Marketing Tools Subscription,12.99,2023-10-20
Mindful Living Boutique,38.9,2023-10-21
Utility Bill Payment,75,2023-10-22
EcoBalance Grocery Store,29.8,2023-10-23
Serenity Spa - Massage,75,2023-10-24
Healthy Bites Cafe - Lunch,18.6,2023-10-25
Online Course - Digital Marketing,149,2023-10-30
Lyft,19.99,2023-09-16
ZenZest Meditation Supplies,15.5,2023-10-27
EcoBalance Grocery Store,29.8,2023-10-28
Mindful Living Boutique,45.5,2023-10-29
Utility Bill Payment,75,2023-10-30
Eco-Friendly Home Products,25,2023-10-31
