title,amount,date
Alpaca Peruvian Delights,8.5,2023-09-01
Duke Campus Supplies,12.25,2023-09-02
Alpaca Peruvian Delights,10.2,2023-09-03
Shooters II,10,2023-10-16
Textbook Purchase,89.99,2023-09-04
Uber,9.35,2023-10-01
Alpaca Peruvian Delights,7.5,2023-09-05
Coffee Break Cafe,4.25,2023-09-06
Utility Bill Payment,40,2023-09-07
Movie Night Tickets,10,2023-09-08
Dining Plan Refill,75,2023-09-09
Alpaca Peruvian Delights,9.25,2023-09-10
Campus Apparel Shop,28.99,2023-09-11
Library Late Fee,5,2023-09-12
Starbucks Coffee,4.75,2023-09-13
Gym Membership,50,2023-09-14
Pizza Night with Friends,18.5,2023-09-15
Uber Ride to Downtown,15.25,2023-09-16
Late-Night Snacks,7.8,2023-09-17
Alpaca Peruvian Delights,10.5,2023-09-18
Concert Tickets,35,2023-09-19
Online Shopping - Fashion,42.99,2023-09-20
Study Group Coffee,9.2,2023-09-21
Alpaca Peruvian Delights,7.75,2023-09-22
Textbook Purchase,75.99,2023-09-23
Lunch with Classmates,15,2023-09-24
Laundry Tokens,6,2023-09-25
Apple Store,30,2023-09-26
Public Transit Pass - Monthly,25,2023-09-27
Movie Streaming Subscription - Netflix,15.99,2023-09-28
Late-Night Pizza Delivery,14.5,2023-09-29
Alpaca Peruvian Delights,8.5,2023-09-30
Fitness Class Pass,30,2023-10-01
Alpaca Peruvian Delights,7.75,2023-10-02
Coffee Break Cafe,5.25,2023-10-03
Textbook Purchase,89.99,2023-10-04
Alpaca Peruvian Delights,9.5,2023-10-05
Library Late Fee,5,2023-10-06
Starbucks Coffee,4.75,2023-10-07
Gym Membership,50,2023-10-08
Uber to darty,30.25,2023-10-07
Pizza Night with Friends,18.5,2023-10-09
Uber Ride to Downtown,15.25,2023-10-10
Late-Night Snacks,7.8,2023-10-11
Alpaca Peruvian Delights,10.75,2023-10-12
Concert Tickets,35,2023-10-13
Online Shopping - Fashion,42.99,2023-10-14
Study Group Coffee,9.2,2023-10-15
Alpaca Peruvian Delights,8.75,2023-10-16
Textbook Purchase,75.99,2023-10-17
Lunch with Classmates,15,2023-10-18
Laundry Tokens,6,2023-10-19
Uber,22.31,2023-10-15
Amazon Online Shopping,60,2023-10-20
Public Transit Pass - Monthly,25,2023-10-21
Movie Streaming Subscription - Hulu,12.99,2023-10-22
Late-Night Pizza Delivery,14.5,2023-10-23
Alpaca Peruvian Delights,7.95,2023-10-24
Fitness Class Pass,30,2023-10-25
Alpaca Peruvian Delights,8.5,2023-10-26
Coffee Break Cafe,5.25,2023-10-27
Textbook Purchase,89.99,2023-10-28
Alpaca Peruvian Delights,9.95,2023-10-29
Library Late Fee,5,2023-10-30
Devine's Pub - Night Out,40,2023-10-31
Uber,12.29,2023-10-21
